iter	RMSE
0	98657.9621
1	97522.30211
2	96620.03488
3	95398.94976
4	94450.0659
5	93521.8827
6	92615.29019
7	91745.75514
8	90895.88661
9	89830.52341
10	88981.09143
11	88014.25992
12	87192.82076
13	86458.23221
14	85706.89812
15	84961.49547
16	84214.38348
17	83558.62365
18	82771.85985
19	82052.06304
20	81384.3082
21	80739.61507
22	80100.23594
23	79433.06736
24	78840.29797
25	78221.15041
26	77580.47044
27	76975.47759
28	76466.74297
29	75892.58289
30	75355.61731
31	74843.31838
32	74185.37864
33	73613.02494
34	73104.07013
35	72526.40019
36	72039.96272
37	71556.76849
38	71136.03477
39	70700.95429
40	70270.57149
41	69848.26966
42	69391.62459
43	68971.90323
44	68455.5241
45	68052.3965
46	67652.40495
47	67290.24895
48	66921.68081
49	66557.55323
50	66171.35784
51	65820.07994
52	65463.36791
53	65125.60506
54	64777.77534
55	64429.08428
56	64121.66322
57	63825.00065
58	63518.46874
59	63155.94152
60	62829.91839
61	62543.34514
62	62239.5236
63	61941.08752
64	61684.64263
65	61433.45382
66	61144.31581
67	60760.99081
68	60518.73799
69	60288.251
70	60069.18692
71	59814.23869
72	59557.0552
73	59310.79229
74	59065.75486
75	58736.64958
76	58499.44609
77	58049.13202
78	57656.15663
79	57411.00467
80	57231.10376
81	56959.83343
82	56749.29395
83	56571.06383
84	56372.7033
85	56049.62342
86	55752.44998
87	55553.12925
88	55391.93744
89	55121.31365
90	54959.78685
91	54724.58696
92	54469.51658
93	54274.95247
94	54080.12098
95	53941.24246
96	53767.80288
97	53632.88178
98	53477.9269
99	53159.73472
100	53041.55029
101	52859.77877
102	52594.6649
103	52355.1111
104	52193.95273
105	51942.37624
106	51745.7659
107	51552.22248
108	51378.98137
109	51174.94816
110	51040.70964
111	50791.22627
112	50555.00509
113	50373.98206
114	50100.71304
115	49912.96827
116	49787.65023
117	49580.68368
118	49427.79992
119	49319.43231
120	49224.31661
121	49041.38449
122	48832.71213
123	48620.46853
124	48505.46459
125	48382.14398
126	48167.72066
127	48066.87773
128	47994.31653
129	47869.83838
130	47758.77666
131	47630.00868
132	47485.64631
133	47367.80197
134	47262.26102
135	47098.32122
136	46951.18314
137	46776.80297
138	46596.99576
139	46458.33722
140	46293.92125
141	46189.8887
142	46100.91793
143	45953.09266
144	45876.01649
145	45717.41247
146	45603.15342
147	45452.79727
148	45284.49782
149	45112.05253
