iter	Passed	Remaining
0	4	636
1	6	459
2	7	390
3	10	396
4	12	372
5	14	349
6	16	334
7	18	325
8	20	320
9	22	318
10	24	310
11	27	319
12	29	314
13	31	308
14	34	306
15	35	300
16	37	296
17	39	292
18	43	300
19	45	295
20	47	292
21	49	287
22	51	282
23	52	277
24	54	271
25	56	267
26	58	266
27	60	262
28	62	260
29	64	256
30	65	252
31	67	248
32	69	246
33	72	245
34	77	253
35	80	253
36	81	250
37	84	247
38	85	244
39	87	240
40	91	244
41	95	245
42	97	243
43	99	239
44	101	235
45	102	232
46	104	229
47	108	231
48	111	230
49	113	227
50	115	223
51	117	220
52	118	217
53	121	216
54	125	217
55	128	214
56	129	211
57	131	208
58	133	205
59	134	202
60	138	202
61	142	201
62	143	198
63	145	195
64	147	192
65	148	189
66	150	185
67	153	185
68	155	183
69	157	180
70	160	178
71	162	176
72	164	173
73	166	171
74	169	169
75	172	167
76	174	165
77	176	162
78	177	159
79	179	156
80	181	154
81	182	151
82	185	149
83	187	147
84	189	144
85	191	142
86	192	139
87	194	137
88	196	134
89	198	132
90	200	129
91	202	127
92	204	125
93	205	122
94	207	120
95	209	117
96	210	115
97	214	113
98	219	112
99	223	111
100	225	109
101	228	107
102	229	104
103	231	102
104	233	99
105	235	97
106	237	95
107	239	93
108	240	90
109	243	88
110	245	86
111	246	83
112	248	81
113	251	79
114	253	77
115	255	74
116	256	72
117	258	70
118	260	67
119	262	65
120	263	63
121	265	60
122	267	58
123	269	56
124	270	54
125	273	52
126	275	49
127	277	47
128	278	45
129	279	43
130	281	40
131	283	38
132	285	36
133	287	34
134	289	32
135	291	30
136	293	27
137	294	25
138	296	23
139	299	21
140	301	19
141	302	17
142	304	14
143	306	12
144	307	10
145	309	8
146	311	6
147	312	4
148	315	2
149	317	0
